CommunityName,BeachName,BeachCountrycode,BeachRegionalSea,BeachLength_m,BeachLocation,BeachType,EventDate,EventType,lon_x1,lat_y1,lon_x2,lat_y2
Surfrider Foundation Europe,"5 Prom. Maurice Rouvier, 06230 Saint-Jean-Cap-Ferrat, France",,Mediterranean Sea,350,,,20190301,Cleanup,7.332931,43.6923711,7.332931,43.69237111
Surfrider Foundation Europe,"5 Prom. Maurice Rouvier, 06230 Saint-Jean-Cap-Ferrat, France",,Mediterranean Sea,350,,,20191104,Cleanup,7.332931,43.6923711,7.332931,43.69237111
Surfrider Foundation Europe,"5 Prom. Maurice Rouvier, 06230 Saint-Jean-Cap-Ferrat, France",,Mediterranean Sea,350,,,20191105,Cleanup,7.332931,43.6923711,7.332931,43.69237111
Surfrider Foundation Europe,"5 Prom. Maurice Rouvier, 06230 Saint-Jean-Cap-Ferrat, France",,Mediterranean Sea,350,,,20191211,Cleanup,7.332931,43.6923711,7.332931,43.69237111
Swiss Litter Report,chriesbach_duebendorf_schneidera,CH,,51,Urban,Other (mixed),20170711,Cleanup,8.605145777,47.40291945,8.604494396,47.40278261
Swiss Litter Report,chriesbach_duebendorf_schneidera,CH,,51,Urban,Other (mixed),20171005,Cleanup,8.605145777,47.40291945,8.604494396,47.40278261
Swiss Litter Report,chriesbach_duebendorf_schneidera,CH,,51,Urban,Other (mixed),20180108,Cleanup,8.605145777,47.40291945,8.604494396,47.40278261
Swiss Litter Report,chriesbach_duebendorf_schneidera,CH,,51,Urban,Other (mixed),20171115,Cleanup,8.605145777,47.40291945,8.604494396,47.40278261
Swiss Litter Report,chriesbach_duebendorf_schneidera,CH,,51,Urban,Other (mixed),20171206,Cleanup,8.605145777,47.40291945,8.604494396,47.40278261
Plastic Change,Roskilde Vig Nord,DK,North-east Atlantic Ocean,100,Rural,Sandy,20160414,Monitoring,12.056157,55.660566,12.055791,55.66144379
Swiss Litter Report,aare_kehrsatz_stolten,CH,,46,,,20170407,Cleanup,7.488301149,46.9235719,7.488904817,46.92352772
Swiss Litter Report,aare_kehrsatz_stolten,CH,,46,,,20170825,Cleanup,7.488301149,46.9235719,7.488904817,46.92352772
Swiss Litter Report,aare_kehrsatz_stolten,CH,,46,,,20170503,Cleanup,7.488301149,46.9235719,7.488904817,46.92352772
Monitoraggio Strategia Marina  Ministero dell_mbiente,Cagliari Poetto,IT,Mediterranean Sea,99,,,20170405,Monitoring,9.17529,39.21264,9.17629,39.21264
Monitoraggio Strategia Marina  Ministero dell_mbiente,Cagliari Poetto,IT,Mediterranean Sea,99,,,20180803,Monitoring,9.17529,39.21264,9.17629,39.21264
Monitoraggio Strategia Marina  Ministero dell_mbiente,Cagliari Poetto,IT,Mediterranean Sea,99,,,20181204,Monitoring,9.17529,39.21264,9.17629,39.21264
Monitoraggio Strategia Marina  Ministero dell_mbiente,Cagliari Poetto,IT,Mediterranean Sea,99,,,20171108,Monitoring,9.17529,39.21264,9.17629,39.21264
gBqsPxAZ,Playa de las Amoladeras,ES,Mediterranean Sea,864,Rural,Sandy,20171215,Monitoring,-0.709776,37.641286,-0.703418,37.635364
gBqsPxAZ,Playa de las Amoladeras,ES,Mediterranean Sea,864,Rural,Sandy,20171221,Cleanup,-0.709776,37.641286,-0.703418,37.635364
Legambiente Onlus,Sassonia di Marotta Marotta (PU),IT,Unknown,100,,,20180430,Monitoring,0.000118047,0.000393185,0.000118056,0.000393185
gBqsPxAZ,spiaggia di Buggerru,,Mediterranean Sea,293,Urban,Sandy,20190403,Cleanup,8.400335743,39.40261055,8.402704334,39.40448022
gBqsPxAZ,spiaggia di Buggerru,,Mediterranean Sea,293,Urban,Sandy,20190404,Cleanup,8.400335743,39.40261055,8.402704334,39.40448022
Monitoraggio Strategia Marina  Ministero dell_mbiente,Marina di Castagneto,IT,Mediterranean Sea,111,,,20171025,Monitoring,10.53989,43.14928,10.54089,43.14928
Monitoraggio Strategia Marina  Ministero dell_mbiente,Marina di Castagneto,IT,Mediterranean Sea,111,,,20170310,Monitoring,10.53989,43.14928,10.54089,43.14928
Monitoraggio Strategia Marina  Ministero dell_mbiente,Marina di Castagneto,IT,Mediterranean Sea,111,,,20181122,Monitoring,10.53989,43.14928,10.54089,43.14928
Marnoba,"Port Ginesta, Barcelona",ES,Mediterranean Sea,100,Urban,Sandy,20181117,Cleanup,1.928466,41.26117,1.929466,41.26117
Marnoba,"Cala Reona, Murcia",ES,Mediterranean Sea,100,Rural,Sandy,20150322,Cleanup,-0.71341,37.61803,-0.71241,37.61803
Plastic Change,Sels,DK,North-east Atlantic Ocean,100,Rural,Pebbels,20170425,Monitoring,11.995539,55.732848,11.996107,55.732007
Plastic Change,Sels,DK,North-east Atlantic Ocean,100,Rural,Pebbels,20180419,Monitoring,11.995539,55.732848,11.996107,55.732007
Plastic Change,Sels,DK,North-east Atlantic Ocean,100,Rural,Pebbels,20160421,Monitoring,11.995539,55.732848,11.996107,55.732007
gBqsPxAZ,Duinpark - Groendijk helft 1,BE,North-east Atlantic Ocean,366,Rural,Sandy,20180106,Cleanup,2.683803698,51.13773329,2.688472025,51.13928185
Surfrider Foundation Europe,"Unnamed Road Vielle-Saint-Girons, 40560 Vielle-Saint-Girons, France",FR,North-east Atlantic Ocean,80,,,20150701,Cleanup,-1.36063,43.9582,-1.35963,43.9582
UkrSCES Institution,Sand Spit 2,UA,Black Sea,105,Near river mouth,Sandy,20200309,Cleanup,30.31618,45.95053,30.316933,45.951288
Wings of the Ocean,Platja dEl Toro,AX,Mediterranean Sea,221,Urban,Sandy,20210215,Cleanup,2.478522062,39.49097103,2.477631569,39.49283394
Surfrider Foundation Europe,"8 Calle Valle de Ar_, 30868 La Azoh_, Espagne",ES,Mediterranean Sea,90,,,20150607,Cleanup,-1.1704,37.5534,-1.1694,37.5534
Legambiente Onlus,Free beach Viale Circe,IT,Mediterranean Sea,100,Near river mouth,Sandy,20161009,Monitoring,13.237588,41.284203,13.23877,41.28412
MELTEMI BalkanMed,Lithi,GR,Mediterranean Sea,49,Rural,Sandy,20181012,Monitoring,25.99099,38.340737,25.991531,38.340591
Surfrider Foundation Europe,"Rue Tutilenia Bidart, 64210 Bidart, France",FR,North-east Atlantic Ocean,81,,,20150530,Cleanup,-1.5836,43.4473,-1.5826,43.4473
Marnoba,"El Serradal, Castell_/Castell",ES,Mediterranean Sea,100,Near river mouth,Sandy,20161017,Cleanup,0.032275,40.003971,0.033275,40.003971
Mare Nostrum,Saturn,RO,Black Sea,102,Urban,Sandy,20200520,Monitoring,28.59051,43.83461,28.59055,43.83369
Mare Nostrum,Saturn,RO,Black Sea,102,Urban,Sandy,20210518,Monitoring,28.59051,43.83461,28.59055,43.83369
Mare Nostrum,Saturn,RO,Black Sea,102,Urban,Sandy,20161010,Monitoring,28.59051,43.83461,28.59055,43.83369
Mare Nostrum,Saturn,RO,Black Sea,102,Urban,Sandy,20150413,Monitoring,28.59051,43.83461,28.59055,43.83369
Surfrider Foundation Europe,"Unnamed Road, 17137 Nieul-sur-Mer, France",,North-east Atlantic Ocean,3000,,,20190519,Cleanup,-1.1635089,46.206687,-1.1635089,46.20668701
Surfrider Foundation Europe,"6 All?e des Coquelicots, 44250 Saint-Brevin-les-Pins, France",FR,North-east Atlantic Ocean,75,,,20150419,Cleanup,-2.15732,47.2061,-2.15632,47.2061
gBqsPxAZ,pineto ,IT,Mediterranean Sea,179,,,20160505,Cleanup,14.06689592,42.6120597,14.06797795,42.61066326
Marnoba,"Playa Heli_olis, Castell_/Castell",ES,Mediterranean Sea,100,Urban,Sandy,20150823,Cleanup,0.048888892,40.0344429,0.049888892,40.0344429
Swiss Litter Report,Ognonnaz-1,CH,,47,Rural,Other (mixed),20170503,Cleanup,6.859134075,46.45994135,6.858690339,46.45964645
Surfrider Foundation Europe,"6 Boulevard du Midi Jean Hibert, 06400 Cannes, France",,Mediterranean Sea,350,,,20190317,Cleanup,7.0111618,43.5483339,7.0111618,43.54833391
Surfrider Foundation Europe,"Unnamed Road Vendays-Montalivet, 33930 Vendays-Montalivet, France",FR,North-east Atlantic Ocean,78,,,20150321,Cleanup,-1.16024,45.3185,-1.15924,45.3185
Wings of the Ocean,Ponta do Sol Top,PT,North-east Atlantic Ocean,469,Near river mouth,Other (mixed),20210411,Cleanup,-17.10392118,32.6801837,-17.1002841,32.68309145
Surfrider Foundation Europe,"Carrer de la Creu Roja, 1B, 46529 Canet d'en Berenguer, Valencia, Espa?a",ES,Mediterranean Sea,750,,,20190814,Cleanup,-0.2191355,39.6806502,-0.2191355,39.68065021
gBqsPxAZ,Playa El Port_,ES,Mediterranean Sea,122,Rural,Rocky,20180822,Cleanup,-1.074190486,37.58420308,-1.072843819,37.58404937
Marnoba,"Torrenueva, Granada",ES,Mediterranean Sea,100,Rural,Sandy,20180517,Cleanup,-3.546666622,36.75138855,-3.545666622,36.75138855
Marnoba,"Torrenueva, Granada",ES,Mediterranean Sea,100,Rural,Sandy,20181116,Cleanup,-3.546666622,36.75138855,-3.545666622,36.75138855
Surfers Against Sewage,Caswell Bay,UK,North-east Atlantic Ocean,54,Rural,Pebbels,20161126,Monitoring,-4.031533189,51.57022978,-4.030792356,51.57005652
gBqsPxAZ,Formby Beach,UK,North-east Atlantic Ocean,1362,Rural,Sandy,20190131,Cleanup,-3.098766304,53.56642256,-3.092082265,53.57800981
Swiss Litter Report,katzenbach_zuerich_sanesim,CH,,99,Rural,Other (mixed),20171031,Cleanup,8.513088026,47.42847285,8.512952828,47.42936038
Swiss Litter Report,katzenbach_zuerich_sanesim,CH,,99,Rural,Other (mixed),20171231,Cleanup,8.513088026,47.42847285,8.512952828,47.42936038
